location,context,observed,expected,authority,tolerance,status
main manuscript,"ties/losses, P=7.276e-12, Holm P=7.276e-12, interval 0.072–0.101, Cohen dz 1.807 and rank-biserial 0.997 (Table 2).  Supporting metrics again showed substa",1.807,1.807,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,", Holm P=7.276e-12, interval 0.072–0.101, Cohen dz 1.807 and rank-biserial 0.997 (Table 2).  Supporting metrics again showed substantial but non-identical ",0.997,0.997,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"6e-12, interval 0.072–0.101, Cohen dz 1.807 and rank-biserial 0.997 (Table 2).  Supporting metrics again showed substantial but non-identical changes. ",2,2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"stantial but non-identical changes. Full PCC and no-smoothing had mean IoU@0.5 of 0.239 and 0.314, soft Dice of 0.238 and 0.270, Brier scores of 0.00646 ",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"l but non-identical changes. Full PCC and no-smoothing had mean IoU@0.5 of 0.239 and 0.314, soft Dice of 0.238 and 0.270, Brier scores of 0.00646 and 0.005",0.239,0.239,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"identical changes. Full PCC and no-smoothing had mean IoU@0.5 of 0.239 and 0.314, soft Dice of 0.238 and 0.270, Brier scores of 0.00646 and 0.00576, and av",0.314,0.314,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ull PCC and no-smoothing had mean IoU@0.5 of 0.239 and 0.314, soft Dice of 0.238 and 0.270, Brier scores of 0.00646 and 0.00576, and average precision of 0",0.238,0.238,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"d no-smoothing had mean IoU@0.5 of 0.239 and 0.314, soft Dice of 0.238 and 0.270, Brier scores of 0.00646 and 0.00576, and average precision of 0.309 and 0",0.270,0.270,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," IoU@0.5 of 0.239 and 0.314, soft Dice of 0.238 and 0.270, Brier scores of 0.00646 and 0.00576, and average precision of 0.309 and 0.404. The target-access c",0.00646,0.00646,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"0.239 and 0.314, soft Dice of 0.238 and 0.270, Brier scores of 0.00646 and 0.00576, and average precision of 0.309 and 0.404. The target-access comparators p",0.00576,0.00576,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"8 and 0.270, Brier scores of 0.00646 and 0.00576, and average precision of 0.309 and 0.404. The target-access comparators provided the mixed contextual ran",0.309,0.309,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"0, Brier scores of 0.00646 and 0.00576, and average precision of 0.309 and 0.404. The target-access comparators provided the mixed contextual rankings desc",0.404,0.404,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript, comparators provided the mixed contextual rankings described above (Table 3). Oracle-assisted target-volume-matched top-k results are reported separat,3,3,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"separately in Supplementary Table S9 and are not deployment estimates. All 39 patients completed every method, no result-driven exclusion occurred, and ",39,39,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"mpleted every method, no result-driven exclusion occurred, and the fixed P10 endpoint was retained.  ## Discussion  This study separates two forms of e",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,in a fixed retrospective update. Canonical PCC improved the prelocked Dice@0.5 endpoint in both the 113-patient independent internal cohort and the 39-pa,0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"update. Canonical PCC improved the prelocked Dice@0.5 endpoint in both the 113-patient independent internal cohort and the 39-patient RHUH cohort, and a ",113,113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"e@0.5 endpoint in both the 113-patient independent internal cohort and the 39-patient RHUH cohort, and a no-smoothing candidate discovered post hoc in d",39,39,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,h transformation changes the representation delivered to the output. Table 3 should therefore be read as descriptive context rather than a causal decom,3,3,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ain improved canonical PCC. The descriptive mean Full-PCC effect was about 0.205 internally and 0.176 externally; the additional no-smoothing effect was ab,0.205,0.205,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,l PCC. The descriptive mean Full-PCC effect was about 0.205 internally and 0.176 externally; the additional no-smoothing effect was about 0.193 and 0.086. ,0.176,0.176,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ernally and 0.176 externally; the additional no-smoothing effect was about 0.193 and 0.086. These differences may reflect domain-shift attenuation, but no ",0.193,0.193,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"d 0.176 externally; the additional no-smoothing effect was about 0.193 and 0.086. These differences may reflect domain-shift attenuation, but no between-co",0.086,0.086,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript, MRI features without giving the evaluated future label to the classifier [16]. Such studies ask whether current information forecasts a later spatial e,16,16,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"t, boundary safety, treatment utility or patient-outcome improvement. Dice@0.5 was the primary localization endpoint; soft Dice, Brier score and average ",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," establish that a corrected region is clinically actionable. RHUH included 39 analysable patients from a single institution, no reader study was conduct",39,39,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"s  This retrospective secondary analysis used MU-Glioma-Post and RHUH-GBM [2,3]. The evidence hierarchy was fixed before manuscript V2.1: a 40-patient ",2,2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," This retrospective secondary analysis used MU-Glioma-Post and RHUH-GBM [2,3]. The evidence hierarchy was fixed before manuscript V2.1: a 40-patient de",3,3,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," and RHUH-GBM [2,3]. The evidence hierarchy was fixed before manuscript V2.1: a 40-patient development cohort, an independent internal cohort and an ex",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"RHUH-GBM [2,3]. The evidence hierarchy was fixed before manuscript V2.1: a 40-patient development cohort, an independent internal cohort and an external",40,40,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,dent internal cohort and an external RHUH cohort. The development set used 40 patient-level pairs and five 32-train/8-test folds. The independent intern,40,40,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,rnal RHUH cohort. The development set used 40 patient-level pairs and five 32-train/8-test folds. The independent internal source set contained 115 pati,32,32,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript, cohort. The development set used 40 patient-level pairs and five 32-train/8-test folds. The independent internal source set contained 115 patients; Pa,8,8,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript, five 32-train/8-test folds. The independent internal source set contained 115 patients; PatientID_0113 and PatientID_0132 were excluded together under t,115,115,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,lds. The independent internal source set contained 115 patients; PatientID_0113 and PatientID_0132 were excluded together under the pre-outcome identity/l,0113,0113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,t internal source set contained 115 patients; PatientID_0113 and PatientID_0132 were excluded together under the pre-outcome identity/label-assignment ano,0132,0132,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ent anomaly rule before target construction or performance access, leaving 113. RHUH used early-postoperative current and recurrence future timepoints. R",113,113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,UH used early-postoperative current and recurrence future timepoints. RHUH-0008 was excluded before P0 generation because lossless orientation operations ,0008,0008,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"s orientation operations did not establish physical-grid identity, leaving 39. Geometry repair by registration, resampling, interpolation or header rewr",39,39,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"rce terminology differed (“Sex at Birth” for MU and “Sex” for RHUH); Table 1 reports Sex, female/male without inferring gender identity. No metadata va",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"y, enhancing foreground and resection cavity. RHUH masks were segmentation>0, combining necrosis (label 1), peritumoral/non-enhancing abnormality (labe",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"esection cavity. RHUH masks were segmentation>0, combining necrosis (label 1), peritumoral/non-enhancing abnormality (label 2) and enhancing tumour (la",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"combining necrosis (label 1), peritumoral/non-enhancing abnormality (label 2) and enhancing tumour (label 3). These definitions were prelocked as the c",2,2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"eritumoral/non-enhancing abnormality (label 2) and enhancing tumour (label 3). These definitions were prelocked as the closest available mapping, not p",3,3,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," perfect ontology equivalence. After P0 freeze, the target was T=(M_future>0) AND NOT(M_current>0), a one-sided, segmentation-derived future-added comp",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ivalence. After P0 freeze, the target was T=(M_future>0) AND NOT(M_current>0), a one-sided, segmentation-derived future-added composite foreground targ",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"slice-wise CrossCaseSmallUNet was a compact U-Net-derived encoder-decoder [4] with two input channels, one output channel and base width 16. Channel 0 ",4,4,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"der-decoder [4] with two input channels, one output channel and base width 16. Channel 0 was current T1c normalized by the positive-voxel 1st and 99th p",16,16,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"[4] with two input channels, one output channel and base width 16. Channel 0 was current T1c normalized by the positive-voxel 1st and 99th percentiles ",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," base width 16. Channel 0 was current T1c normalized by the positive-voxel 1st and 99th percentiles of that current volume and clipped to [0,1]. Channe",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"dth 16. Channel 0 was current T1c normalized by the positive-voxel 1st and 99th percentiles of that current volume and clipped to [0,1]. Channel 1 was t",99,99,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"tive-voxel 1st and 99th percentiles of that current volume and clipped to [0,1]. Channel 1 was the binary current foreground segmentation. Sigmoid conv",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ve-voxel 1st and 99th percentiles of that current volume and clipped to [0,1]. Channel 1 was the binary current foreground segmentation. Sigmoid conver",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," and 99th percentiles of that current volume and clipped to [0,1]. Channel 1 was the binary current foreground segmentation. Sigmoid converted logits t",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," training-label foreground was present. Five patient-level folds used seed 42, 20 epochs, batch size 8, Adam learning rate 0.001, and 0.5 weighted binar",42,42,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ining-label foreground was present. Five patient-level folds used seed 42, 20 epochs, batch size 8, Adam learning rate 0.001, and 0.5 weighted binary cr",20,20,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," was present. Five patient-level folds used seed 42, 20 epochs, batch size 8, Adam learning rate 0.001, and 0.5 weighted binary cross-entropy plus 0.5 ",8,8,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ient-level folds used seed 42, 20 epochs, batch size 8, Adam learning rate 0.001, and 0.5 weighted binary cross-entropy plus 0.5 soft-Dice loss, with posit",0.001,0.001,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"folds used seed 42, 20 epochs, batch size 8, Adam learning rate 0.001, and 0.5 weighted binary cross-entropy plus 0.5 soft-Dice loss, with positive weigh",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ze 8, Adam learning rate 0.001, and 0.5 weighted binary cross-entropy plus 0.5 soft-Dice loss, with positive weight capped at 50. Checkpoints minimized m",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"nary cross-entropy plus 0.5 soft-Dice loss, with positive weight capped at 50. Checkpoints minimized mean training loss. The historical canonical implem",50,50,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"d single-predictor pathway, not a five-model ensemble. For the independent 113, every evaluated patient was absent from all five development training par",113,113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ive frozen checkpoint probability maps were averaged with equal weights of 0.2. RHUH used the same five hash-matched checkpoints and equal weights on a p,0.2,0.2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ation, fold selection or test-time adaptation. Each P0 was stored as float32, checked for geometry identity, finiteness and range [0,1], and frozen by ",2,2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"as stored as float32, checked for geometry identity, finiteness and range [0,1], and frozen by SHA-256 before future outcome access.  ### Prediction-Co",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," stored as float32, checked for geometry identity, finiteness and range [0,1], and frozen by SHA-256 before future outcome access.  ### Prediction-Comp",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ecked for geometry identity, finiteness and range [0,1], and frozen by SHA-256 before future outcome access.  ### Prediction-Comparison-Correction  Let P",256,256,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"s.  ### Prediction-Comparison-Correction  Let P_r denote the current float32 probability map, T the realized future-added target and R the support comp",2,2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"added target and R the support comprising voxels within Euclidean distance 26 voxels of T. Initial P_0 was safely clipped to [epsilon,1-epsilon], epsilo",26,26,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"port comprising voxels within Euclidean distance 26 voxels of T. Initial P_0 was safely clipped to [epsilon,1-epsilon], epsilon=1e-5. At round r, signe",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"lidean distance 26 voxels of T. Initial P_0 was safely clipped to [epsilon,1-epsilon], epsilon=1e-5. At round r, signed discrepancy within support was ",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"oxels of T. Initial P_0 was safely clipped to [epsilon,1-epsilon], epsilon=1e-5. At round r, signed discrepancy within support was D_r=(T-P_r)R, Gaussian-",1e-5,1e-5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"r=(T-P_r)R, Gaussian-smoothed discrepancy was S_r=GaussianSmooth(D_r,sigma=2.0 voxels), and outside-support probability was O_r=P_r(1-R). Canonical PCC t",2.0,2.0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"nSmooth(D_r,sigma=2.0 voxels), and outside-support probability was O_r=P_r(1-R). Canonical PCC then applied the editable logit-space update in equation",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"). Canonical PCC then applied the editable logit-space update in equation (1), followed by sigmoid, clipping and state propagation. The coefficient eta",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"llowed by sigmoid, clipping and state propagation. The coefficient eta was 0.30, calculations were float32, ten rounds were always executed and P10 was th",0.30,0.30,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"d state propagation. The coefficient eta was 0.30, calculations were float32, ten rounds were always executed and P10 was the formal output. Outside-su",2,2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"was 0.30, calculations were float32, ten rounds were always executed and P10 was the formal output. Outside-support probability was explicitly suppress",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," P0, not to prospective forecasting by the correction stage.    logit(P_{r+1}) = logit(P_r) + eta S_r - eta O_r    (1)  ### No-smoothing and comparator",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,e correction stage.    logit(P_{r+1}) = logit(P_r) + eta S_r - eta O_r    (1)  ### No-smoothing and comparator methods  No-smoothing PCC was identical ,1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"t suppression, eta, radius, clipping, state propagation, round count and P10 selection were unchanged. Full PCC remained canonical. No-smoothing was id",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ed returned safely clipped P0 without target access. Naive applied sigmoid(2.5 logit(P0)), using epsilon 1e-5 and logit clipping [-30,30], without target",2.5,2.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"without target access. Naive applied sigmoid(2.5 logit(P0)), using epsilon 1e-5 and logit clipping [-30,30], without target access. For EIA methods, R use",1e-5,1e-5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ive applied sigmoid(2.5 logit(P0)), using epsilon 1e-5 and logit clipping [-30,30], without target access. For EIA methods, R used the same 26-voxel radi",-30,-30,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"applied sigmoid(2.5 logit(P0)), using epsilon 1e-5 and logit clipping [-30,30], without target access. For EIA methods, R used the same 26-voxel radius ",30,30,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"clipping [-30,30], without target access. For EIA methods, R used the same 26-voxel radius and G was the [0,1]-normalized Gaussian smoothing of float32 ",26,26,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"et access. For EIA methods, R used the same 26-voxel radius and G was the [0,1]-normalized Gaussian smoothing of float32 T with sigma 2.0. EIA-linear r",0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," access. For EIA methods, R used the same 26-voxel radius and G was the [0,1]-normalized Gaussian smoothing of float32 T with sigma 2.0. EIA-linear ret",1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"26-voxel radius and G was the [0,1]-normalized Gaussian smoothing of float32 T with sigma 2.0. EIA-linear returned clip[P0+0.30G(1-P0)-0.30(1-R)P0]. EI",2,2,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," and G was the [0,1]-normalized Gaussian smoothing of float32 T with sigma 2.0. EIA-linear returned clip[P0+0.30G(1-P0)-0.30(1-R)P0]. EIA-blend-0.90 and ",2.0,2.0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,Gaussian smoothing of float32 T with sigma 2.0. EIA-linear returned clip[P0+0.30G(1-P0)-0.30(1-R)P0]. EIA-blend-0.90 and EIA-blend-0.75 returned clip(0.90P,+0.30,+0.30,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,n smoothing of float32 T with sigma 2.0. EIA-linear returned clip[P0+0.30G(1-P0)-0.30(1-R)P0]. EIA-blend-0.90 and EIA-blend-0.75 returned clip(0.90P0+0,1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,othing of float32 T with sigma 2.0. EIA-linear returned clip[P0+0.30G(1-P0)-0.30(1-R)P0]. EIA-blend-0.90 and EIA-blend-0.75 returned clip(0.90P0+0.10G) and,-0.30,-0.30,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript, of float32 T with sigma 2.0. EIA-linear returned clip[P0+0.30G(1-P0)-0.30(1-R)P0]. EIA-blend-0.90 and EIA-blend-0.75 returned clip(0.90P0+0.10G) and c,1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,sigma 2.0. EIA-linear returned clip[P0+0.30G(1-P0)-0.30(1-R)P0]. EIA-blend-0.90 and EIA-blend-0.75 returned clip(0.90P0+0.10G) and clip(0.75P0+0.25G). Int,0.90,0.90,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ar returned clip[P0+0.30G(1-P0)-0.30(1-R)P0]. EIA-blend-0.90 and EIA-blend-0.75 returned clip(0.90P0+0.10G) and clip(0.75P0+0.25G). Internal-only EIA-morp,0.75,0.75,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,+0.30G(1-P0)-0.30(1-R)P0]. EIA-blend-0.90 and EIA-blend-0.75 returned clip(0.90P0+0.10G) and clip(0.75P0+0.25G). Internal-only EIA-morph thresholded P0 at,0.90,0.90,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"(1-P0)-0.30(1-R)P0]. EIA-blend-0.90 and EIA-blend-0.75 returned clip(0.90P0+0.10G) and clip(0.75P0+0.25G). Internal-only EIA-morph thresholded P0 at 0.5, i",+0.10,+0.10,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"0]. EIA-blend-0.90 and EIA-blend-0.75 returned clip(0.90P0+0.10G) and clip(0.75P0+0.25G). Internal-only EIA-morph thresholded P0 at 0.5, intersected it wi",0.75,0.75,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"A-blend-0.90 and EIA-blend-0.75 returned clip(0.90P0+0.10G) and clip(0.75P0+0.25G). Internal-only EIA-morph thresholded P0 at 0.5, intersected it with R, p",+0.25,+0.25,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"0+0.10G) and clip(0.75P0+0.25G). Internal-only EIA-morph thresholded P0 at 0.5, intersected it with R, performed one binary closing and hole filling, and",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ry closing and hole filling, and retained connected components of at least 20 voxels. EIA methods were retrospective oracle-style target-access controls",20,20,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," development controls. Imperfect-guidance conditions included retention of 50% or 25% of target foreground, addition of 25% false-positive guidance, a t",50,50,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"pment controls. Imperfect-guidance conditions included retention of 50% or 25% of target foreground, addition of 25% false-positive guidance, a three-vo",25,25,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ditions included retention of 50% or 25% of target foreground, addition of 25% false-positive guidance, a three-voxel shift and a mixed partial-plus-fal",25,25,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ial-plus-false-positive condition. These experiments were not rerun for V2.1; only frozen summaries were reported. Canonical Full PCC trajectories reco,1,1,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,aries were reported. Canonical Full PCC trajectories recorded P1 through P10 for all 113 internal and 39 RHUH patients. P10 remained formal without per,0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript, reported. Canonical Full PCC trajectories recorded P1 through P10 for all 113 internal and 39 RHUH patients. P10 remained formal without per-case best-r,113,113,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,cal Full PCC trajectories recorded P1 through P10 for all 113 internal and 39 RHUH patients. P10 remained formal without per-case best-round selection. ,39,39,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ories recorded P1 through P10 for all 113 internal and 39 RHUH patients. P10 remained formal without per-case best-round selection.  ### Evaluation met,0,0,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript," confirmatory cohort was patient-level Dice at the fixed rule probability>=0.5. Secondary metrics were IoU@0.5, precision@0.5, recall@0.5, soft Dice, Bri",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"-level Dice at the fixed rule probability>=0.5. Secondary metrics were IoU@0.5, precision@0.5, recall@0.5, soft Dice, Brier score, average precision, pre",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"the fixed rule probability>=0.5. Secondary metrics were IoU@0.5, precision@0.5, recall@0.5, soft Dice, Brier score, average precision, predicted positive",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"le probability>=0.5. Secondary metrics were IoU@0.5, precision@0.5, recall@0.5, soft Dice, Brier score, average precision, predicted positive volume and ",0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"precision, predicted positive volume and target-to-predicted-volume ratio [10,11,15]. Target-volume-matched top-k Dice and IoU selected the k highest pr",10,10,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"cision, predicted positive volume and target-to-predicted-volume ratio [10,11,15]. Target-volume-matched top-k Dice and IoU selected the k highest proba",11,11,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"ion, predicted positive volume and target-to-predicted-volume ratio [10,11,15]. Target-volume-matched top-k Dice and IoU selected the k highest probabil",15,15,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,ach cohort's confirmatory family contained exactly two comparisons on Dice@0.5: Full PCC versus Fixed and no-smoothing versus Full PCC. Paired two-sided ,0.5,0.5,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"aimed to be exact. Holm adjustment covered exactly two hypotheses at alpha=0.05 [12]. Reports included n, paired mean and median differences, wins/ties/lo",0.05,0.05,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
main manuscript,"to be exact. Holm adjustment covered exactly two hypotheses at alpha=0.05 [12]. Reports included n, paired mean and median differences, wins/ties/losses",12,12,frozen scientific authorities / journal requirements,exact rendered token; core floats additionally regression-asserted,PASS
